,Education,EducationField,Gender,MaritalStatus,Age,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
27,Bachelor,Medical,Male,Married,33,0,0,8,5.0,Illinois,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2436,Yes,13,2,High,High,,High
28,Bachelor,Marketing,Female,Single,50,0,1,16,4.0,Portugal,No,Travel_Frequently,Sales,3,Sales Executive,9208,No,11,3,High,High,Very High,Very High
29,College,Other,Male,Married,42,2,0,8,4.0,Montana,No,,Research & Development,1,Laboratory Technician,2093,No,17,4,Medium,High,High,Very High
30,Below College,Medical,Female,Single,23,0,1,3,1.0,República Checa,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3295,No,13,3,High,High,Medium,High
31,Below College,Marketing,Female,Married,52,4,2,33,1.0,Croacia,Yes,Travel_Rarely,Sales,5,Manager,19845,No,15,3,Low,Low,Very High,Very High
32,Bachelor,Human Resources,Male,Married,38,0,0,7,1.0,Maryland,No,,Human Resources,1,Human Resources,2844,No,13,2,High,Very High,High,Very High
33,Master,Medical,Female,Married,30,0,0,9,1.0,Maine,No,Travel_Rarely,Research & Development,3,Manager,11916,Yes,23,2,Medium,High,Low,Very High
34,Bachelor,Medical,Male,Single,30,0,0,1,1.0,New Hampshire,Yes,Travel_Rarely,Sales,1,Sales Representative,1081,No,13,3,Medium,High,Very High,High
35,Bachelor,Medical,Male,Single,24,0,0,4,2.0,Ohio,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,3172,Yes,11,2,Medium,High,Low,High
36,,Marketing,Male,Single,47,1,3,20,2.0,Grecia,No,Travel_Rarely,Sales,2,Sales Executive,4960,No,12,2,Very High,High,,Very High
37,Bachelor,Medical,Female,Single,32,0,0,10,7.0,Dakota del Norte,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,4200,No,22,2,Low,High,,Low
38,Bachelor,Medical,Female,Married,35,0,0,10,0.0,Rumania,No,Travel_Rarely,Research & Development,2,Laboratory Technician,5363,No,12,0,Very High,Medium,Very High,Medium
39,College,Life Sciences,Female,Married,32,0,1,6,2.0,Indiana,No,,Sales,1,Sales Representative,3931,No,11,5,High,High,Medium,Low
40,Bachelor,Medical,Male,Divorced,32,1,0,10,0.0,Noruega,No,Travel_Rarely,Research & Development,2,Research Scientist,5470,No,13,4,Very High,High,Medium,High
41,Master,Marketing,Female,Married,34,0,2,6,9.0,Colorado,No,Non-Travel,Sales,2,Sales Executive,6538,No,15,3,High,High,High,Low
42,College,Other,Female,Divorced,24,1,3,5,0.0,Delaware,No,Non-Travel,Research & Development,2,Manufacturing Director,4011,No,18,5,Low,Very High,High,
43,Master,Life Sciences,Male,Single,32,0,0,1,1.0,Bélgica,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,1393,No,12,2,Very High,High,,Low
44,College,Life Sciences,Male,Divorced,38,0,3,10,2.0,Vermont,No,Travel_Rarely,Research & Development,1,Research Scientist,4771,No,19,0,Medium,High,Very High,Very High
45,Bachelor,Other,Male,Married,30,0,1,7,0.0,Portugal,No,Travel_Rarely,Research & Development,2,Manufacturing Director,9957,No,15,1,High,High,Low,High
46,Below College,Technical Degree,Male,Single,21,1,0,3,1.0,Alaska,No,Travel_Rarely,Sales,1,Sales Representative,3447,No,11,2,High,High,High,High
47,Master,Life Sciences,Female,Married,39,4,3,17,4.0,Portugal,No,Travel_Rarely,Sales,2,Sales Executive,5902,No,14,1,Very High,Medium,High,High
48,Bachelor,Medical,Female,Single,38,0,3,4,1.0,Kentucky,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2440,No,22,3,Very High,Medium,Medium,Medium
49,Bachelor,Life Sciences,Male,Divorced,51,0,1,33,1.0,Kansas,No,Travel_Rarely,Human Resources,4,Manager,14026,Yes,11,2,High,High,Medium,Medium
50,Bachelor,Marketing,Male,Married,35,5,7,12,0.0,Texas,No,Travel_Rarely,Sales,3,Sales Executive,8020,No,15,3,High,High,Medium,
51,Bachelor,Life Sciences,Male,Married,26,1,0,6,6.0,Illinois,Yes,Travel_Frequently,Research & Development,1,Research Scientist,2042,Yes,14,2,Low,High,Low,Medium
52,Bachelor,Other,Male,Married,37,2,6,10,1.0,Austria,No,Travel_Rarely,Research & Development,3,Manufacturing Director,9434,No,15,2,High,High,High,High
53,Bachelor,Other,Female,Divorced,53,1,2,26,4.0,Pensilvania,No,Travel_Rarely,Research & Development,5,Manager,19094,No,11,3,High,High,High,Very High
54,Doctor,Medical,Female,Single,36,3,0,15,0.0,Suiza,No,Travel_Rarely,Research & Development,3,Manufacturing Director,8858,No,11,2,Very High,Medium,Very High,Medium
55,,Life Sciences,Male,Married,23,0,0,1,1.0,Dinamarca,No,Travel_Rarely,Research & Development,1,Research Scientist,1223,No,22,2,Very High,High,High,Very High
56,Bachelor,Life Sciences,Female,Married,36,0,4,10,9.0,Minnesota,No,Non-Travel,Research & Development,3,Research Director,11713,No,14,2,Low,Very High,Low,Low
57,Master,Marketing,Female,Married,27,0,0,8,1.0,Suiza,No,Travel_Rarely,Sales,2,Sales Executive,6214,No,18,3,Medium,High,Medium,Low
58,Bachelor,Medical,Male,Married,55,0,0,34,8.0,Delaware,No,Travel_Rarely,Research & Development,5,Research Director,19038,No,12,2,High,Medium,Low,Medium
59,Doctor,Medical,Female,Married,37,1,7,15,3.0,Nueva Jersey,No,Non-Travel,Research & Development,2,Research Scientist,4449,Yes,15,2,Medium,High,High,Low
60,Below College,Medical,Female,Married,31,0,1,7,8.0,Francia,No,Travel_Rarely,Research & Development,1,Research Scientist,3929,Yes,23,0,High,High,Very High,High
61,College,Other,Female,Divorced,25,0,0,6,0.0,Austria,No,Travel_Rarely,Sales,2,Sales Executive,4907,Yes,22,3,Low,High,,Medium
62,College,Life Sciences,Male,Divorced,40,0,0,6,9.0,Austria,No,Non-Travel,Research & Development,1,Research Scientist,3544,No,16,0,High,High,,Medium
63,Bachelor,Medical,Female,Single,37,0,1,8,4.0,Suiza,No,,Research & Development,1,Laboratory Technician,3629,No,18,6,Low,High,High,Low
64,Bachelor,Technical Degree,Male,Single,26,0,0,1,1.0,Reino Unido,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2340,Yes,18,3,High,Low,Very High,Medium
65,Bachelor,Marketing,Male,Single,41,2,5,8,1.0,Dakota del Norte,Yes,Travel_Frequently,Sales,2,Sales Executive,9355,No,18,5,Low,High,Medium,High
66,Bachelor,Marketing,Female,Single,33,0,0,1,1.0,República Checa,Yes,Travel_Rarely,Sales,1,Sales Representative,2851,Yes,13,2,Very High,High,High,Medium
67,College,Medical,Male,Divorced,36,0,2,13,2.0,República Checa,No,Travel_Rarely,Research & Development,2,Manufacturing Director,8847,Yes,11,2,Medium,Medium,Medium,High
68,Master,Technical Degree,Male,Married,42,2,0,10,3.0,Carolina del Norte,No,Non-Travel,Research & Development,1,Research Scientist,2936,No,22,1,High,High,High,Medium
69,Master,Medical,Female,Divorced,50,0,6,32,3.0,Polonia,No,Travel_Rarely,Sales,5,Manager,19517,No,11,3,Very High,High,Very High,High
70,Bachelor,Medical,Male,Married,33,2,6,15,0.0,Kansas,No,Travel_Rarely,Research & Development,1,Research Scientist,2781,No,13,5,Low,High,,Medium
71,Bachelor,Technical Degree,Male,Single,30,0,0,3,9.0,Delaware,Yes,Travel_Frequently,Research & Development,1,Research Scientist,2285,Yes,23,4,High,High,Very High,High
72,Below College,Medical,Male,Married,39,2,8,21,1.0,Indiana,No,Travel_Rarely,Research & Development,4,Manager,17068,Yes,14,3,High,High,Low,Very High
73,,Technical Degree,Male,Divorced,33,1,7,11,5.0,Suiza,No,,Research & Development,2,Research Scientist,3055,No,15,2,Very High,High,,Very High
74,Master,Medical,Male,Divorced,31,2,2,9,9.0,Massachusetts,No,Travel_Frequently,Research & Development,3,Research Director,13675,No,12,3,Medium,High,High,Low
75,Master,Medical,Male,Divorced,40,0,0,3,8.0,Maryland,No,Travel_Frequently,Research & Development,1,Research Scientist,3617,Yes,14,2,Very High,High,Medium,Very High
76,,Life Sciences,Female,Single,47,1,2,3,1.0,Arizona,No,,Sales,1,Sales Representative,3294,Yes,18,3,Very High,Medium,Very High,Low
77,Master,Medical,Male,Divorced,47,1,5,20,1.0,Nebraska,No,Travel_Frequently,Research & Development,2,Manufacturing Director,5067,Yes,19,3,High,Very High,,High
78,Bachelor,Life Sciences,Male,Divorced,34,0,4,15,1.0,Portugal,No,Non-Travel,Sales,2,Sales Executive,4001,Yes,14,3,Very High,High,High,High
79,Bachelor,Medical,Male,Single,45,0,2,9,5.0,Minnesota,No,Travel_Rarely,Research & Development,1,Research Scientist,3452,No,13,2,High,High,Very High,Medium
80,,Life Sciences,Male,Married,25,0,0,6,2.0,Florida,No,Travel_Rarely,Sales,2,Sales Executive,6232,No,11,3,Low,Very High,High,Medium
81,,Life Sciences,Male,Divorced,31,0,4,13,1.0,República Checa,No,Travel_Rarely,Research & Development,3,Manufacturing Director,10648,No,25,6,High,High,Medium,Very High
82,Bachelor,Technical Degree,Female,Married,40,9,2,10,1.0,Noruega,No,Travel_Frequently,Research & Development,2,Laboratory Technician,6323,No,11,2,Very High,High,High,Low
83,,Medical,Male,Divorced,41,0,5,21,2.0,Croacia,No,Travel_Frequently,Research & Development,5,Research Director,19419,No,17,2,Low,High,High,Medium
84,College,Medical,Female,Married,32,1,0,9,5.0,Grecia,No,Travel_Rarely,Research & Development,2,Research Scientist,5175,No,12,3,High,Very High,High,High
85,College,Life Sciences,Female,Single,28,0,0,5,1.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Research Scientist,3310,No,21,3,Very High,High,Very High,Very High
86,Bachelor,Life Sciences,Female,Single,27,0,0,7,1.0,Wyoming,No,Travel_Frequently,Sales,2,Sales Executive,9981,No,14,2,Very High,High,,Very High
87,Doctor,Marketing,Male,Divorced,33,0,1,10,0.0,Alemania,No,Travel_Rarely,Sales,3,Sales Executive,8380,Yes,14,3,Very High,Very High,High,Very High
88,College,Medical,Male,Divorced,50,1,1,32,9.0,Montana,No,,Research & Development,4,Research Director,17399,No,22,1,Very High,High,Very High,High
89,College,Life Sciences,Female,Single,41,0,5,8,8.0,Montana,Yes,Travel_Rarely,Sales,2,Sales Executive,5993,Yes,11,0,Medium,High,Very High,Low
90,Master,Life Sciences,Male,Single,36,0,3,10,7.0,Italia,Yes,Travel_Rarely,Sales,1,Sales Representative,3407,No,23,4,High,Medium,Low,Medium
91,,Life Sciences,Male,Divorced,46,0,0,13,4.0,Noruega,No,Travel_Rarely,Sales,3,Sales Executive,10368,Yes,12,5,High,High,Very High,Medium
92,Master,Medical,Male,Married,57,1,0,15,2.0,Georgia,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6755,No,11,2,Very High,High,High,High
93,Master,Other,Male,Single,44,8,11,20,1.0,Misuri,No,Travel_Rarely,Research & Development,2,Research Scientist,4541,No,25,3,Very High,High,,Medium
94,College,Medical,Female,Divorced,53,1,0,5,1.0,Washington,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4450,No,11,3,Very High,Very High,Low,High
95,Bachelor,Human Resources,Female,Single,54,1,2,23,2.0,Indiana,No,Non-Travel,Human Resources,4,Manager,17328,Yes,12,3,Very High,Very High,Very High,High
96,Below College,Life Sciences,Male,Married,28,0,2,6,0.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Research Scientist,3201,No,17,2,Low,Medium,Medium,Low
97,College,Life Sciences,Male,Single,35,0,0,10,2.0,República Checa,No,Travel_Frequently,Research & Development,3,Manufacturing Director,9362,No,11,2,High,High,Very High,High
98,Bachelor,Life Sciences,Female,Divorced,33,0,2,7,1.0,Rumania,No,Non-Travel,Sales,2,Sales Executive,5368,Yes,25,2,High,High,Very High,High
99,Bachelor,Medical,Female,Married,44,0,4,10,1.0,Italia,Yes,Travel_Rarely,Research & Development,3,Healthcare Representative,7978,No,11,2,Low,High,Very High,Very High
100,Bachelor,Life Sciences,Female,Married,37,6,5,16,1.0,Noruega,No,Travel_Rarely,Research & Development,3,Research Director,13744,Yes,25,2,High,Very High,Very High,Low
101,Bachelor,Human Resources,Female,Married,42,0,3,21,0.0,Tennessee,No,Travel_Rarely,Human Resources,4,Manager,16799,No,14,5,High,High,Low,High
102,Bachelor,Marketing,Female,Single,29,2,2,2,1.0,Portugal,Yes,Travel_Rarely,Sales,1,Sales Representative,2760,No,13,3,Medium,Low,Medium,High
103,,Life Sciences,Male,Divorced,37,0,7,7,1.0,Vermont,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5993,No,18,2,Low,Medium,,High
104,Master,Life Sciences,Male,Divorced,41,0,3,5,1.0,Francia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2289,No,20,2,High,High,Low,Medium
105,Bachelor,Technical Degree,Female,Divorced,46,1,1,25,2.0,Polonia,No,Travel_Rarely,Sales,4,Sales Executive,13225,No,12,5,Low,Very High,Low,Very High
106,Master,Medical,Male,Married,35,1,6,10,6.0,Finlandia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2258,No,12,2,Very High,Medium,,Medium
107,College,Human Resources,Male,Divorced,33,0,3,7,3.0,Arizona,No,Travel_Rarely,Human Resources,1,Human Resources,2277,Yes,11,4,Very High,High,Medium,High
108,Master,Technical Degree,Female,Single,34,2,1,14,1.0,Suiza,No,,Research & Development,2,Healthcare Representative,6687,No,11,2,High,High,Very High,Very High
109,Bachelor,Medical,Male,Divorced,45,0,0,24,2.0,Oklahoma,No,Travel_Rarely,Research & Development,3,Healthcare Representative,10851,Yes,18,2,Medium,Low,,Medium
110,,Life Sciences,Male,Divorced,41,0,3,14,2.0,Wyoming,No,,Sales,2,Sales Executive,8938,No,11,5,High,Medium,Medium,High
111,,Life Sciences,Male,Married,42,6,0,20,1.0,Iowa,No,Travel_Rarely,Sales,2,Sales Executive,4907,No,25,3,Medium,High,High,High
112,Master,Life Sciences,Male,Married,51,1,1,16,5.0,Carolina del Norte,No,,Research & Development,3,Research Director,12490,No,16,5,Medium,Medium,,Very High
113,College,Life Sciences,Male,Married,45,0,2,9,1.0,Indiana,No,Non-Travel,Research & Development,2,Laboratory Technician,4447,No,12,5,High,High,,Medium
114,Bachelor,Marketing,Male,Married,51,0,1,14,2.0,Rumania,No,Travel_Frequently,Sales,3,Sales Executive,10596,No,11,5,Medium,High,Medium,Medium
115,Bachelor,Life Sciences,Male,Single,48,0,8,11,1.0,Illinois,No,Travel_Rarely,Research & Development,3,Manufacturing Director,7898,No,11,2,Very High,High,Very High,High
116,College,Marketing,Female,Married,46,0,3,26,2.0,Georgia,No,Travel_Rarely,Sales,5,Manager,18789,No,14,2,Very High,Medium,Medium,High
117,Master,Life Sciences,Female,Married,40,0,1,21,0.0,Noruega,No,Travel_Rarely,Sales,5,Manager,18041,No,14,2,High,High,High,Very High
118,,Other,Female,Married,47,1,0,26,1.0,Rumania,No,Travel_Rarely,Research & Development,4,Manager,16752,Yes,11,3,High,High,Very High,High
119,College,Life Sciences,Female,Married,42,0,0,8,9.0,Dinamarca,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6062,Yes,13,4,Very High,Medium,Very High,Very High
120,Master,Medical,Female,Married,42,0,0,18,6.0,Maryland,No,Travel_Rarely,Research & Development,2,Research Scientist,2372,Yes,16,2,Medium,Very High,Medium,Very High
121,Bachelor,Marketing,Female,Married,49,2,1,9,1.0,Nevada,Yes,Travel_Rarely,Sales,3,Sales Executive,7654,No,18,3,High,High,Very High,Low
122,Master,Technical Degree,Male,Married,27,1,0,6,1.0,Dinamarca,No,,Research & Development,1,Research Scientist,2226,No,11,3,Medium,High,Medium,High
123,Bachelor,Life Sciences,Female,Single,18,0,0,0,1.0,Nebraska,No,Non-Travel,Research & Development,1,Laboratory Technician,1611,No,15,5,Very High,High,Very High,High
124,Master,Life Sciences,Male,Married,45,0,2,9,4.0,Noruega,No,Travel_Frequently,Research & Development,2,Manufacturing Director,6434,No,17,1,Low,Very High,High,Very High
125,College,Marketing,Female,Married,47,0,3,8,0.0,Arizona,No,Travel_Rarely,Sales,2,Sales Executive,4537,Yes,22,2,High,High,Very High,Low
126,Bachelor,Technical Degree,Male,Divorced,43,0,0,8,5.0,Vermont,No,Travel_Rarely,Research & Development,1,Laboratory Technician,4876,No,12,0,Very High,Very High,Medium,High
127,Bachelor,Medical,Male,Single,28,0,2,5,1.0,Italia,No,,Research & Development,1,Research Scientist,2144,No,14,3,High,High,High,High
128,Bachelor,Technical Degree,Male,Single,20,0,0,1,1.0,Polonia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2973,No,19,2,Low,High,Low,Medium
129,College,Medical,Female,Married,31,0,11,13,1.0,Bélgica,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4306,No,12,5,Medium,High,Low,Medium
130,Master,Medical,Female,Married,33,0,1,8,8.0,Connecticut,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3838,No,11,5,Low,Medium,Medium,Very High
131,Master,Medical,Female,Divorced,39,1,2,7,7.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2232,No,14,1,High,High,High,High
132,Master,Life Sciences,Female,Married,52,1,2,9,8.0,Portugal,No,Travel_Rarely,Research & Development,2,Laboratory Technician,3149,No,20,3,Very High,High,High,Medium
133,Master,Life Sciences,Male,Single,41,0,1,22,1.0,Misisipi,No,Travel_Rarely,Sales,4,Manager,16015,No,19,2,Very High,High,Medium,Medium
134,Master,Life Sciences,Female,Married,37,2,0,8,6.0,Suecia,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6447,No,12,2,Medium,High,Medium,Medium
135,Bachelor,Technical Degree,Female,Divorced,29,0,0,1,1.0,Alemania,No,,Research & Development,1,Research Scientist,2109,No,13,2,Very High,Medium,Low,High
136,Bachelor,Life Sciences,Male,Single,28,0,3,5,0.0,Vermont,No,Travel_Frequently,Sales,2,Sales Executive,4898,No,14,5,High,High,Low,Very High
137,College,Other,Male,Divorced,37,4,0,19,2.0,Austria,No,Travel_Rarely,Human Resources,2,Human Resources,4071,No,13,4,High,High,Medium,High
138,Doctor,Human Resources,Male,Married,44,0,2,14,4.0,Connecticut,No,Travel_Frequently,Human Resources,2,Human Resources,5743,Yes,11,3,Low,High,Very High,High
139,Below College,Life Sciences,Male,Divorced,41,0,6,12,3.0,Nueva Jersey,No,Travel_Rarely,Sales,3,Sales Executive,8189,Yes,13,2,High,High,High,High
140,College,Medical,Female,Married,40,0,0,16,3.0,Dakota del Norte,No,Travel_Frequently,Research & Development,2,Research Scientist,4422,Yes,13,3,High,Medium,Very High,Very High
141,,Other,Male,Divorced,25,0,2,7,6.0,Misisipi,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3977,Yes,19,2,Very High,High,High,High
142,Bachelor,Medical,Male,Single,26,2,0,7,1.0,Tennessee,No,Non-Travel,Research & Development,1,Laboratory Technician,2570,No,20,5,Very High,High,Very High,High
143,,Life Sciences,Male,Married,42,2,5,21,0.0,Reino Unido,No,Non-Travel,Research & Development,4,Manager,17861,Yes,13,3,High,High,High,Very High
144,College,Life Sciences,Male,Divorced,36,0,0,13,6.0,Carolina del Norte,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6842,No,20,3,Very High,Very High,Low,Low
145,College,Medical,Female,Divorced,47,0,1,20,5.0,España,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5070,No,13,2,Low,High,Very High,High
146,Master,Life Sciences,Male,Divorced,50,0,0,12,7.0,Austria,Yes,Travel_Frequently,Sales,2,Sales Executive,6728,No,12,3,Medium,High,,Very High
147,College,Life Sciences,Male,Single,48,0,0,23,9.0,Alemania,Yes,Travel_Rarely,Research & Development,3,Laboratory Technician,5381,Yes,13,2,Low,Medium,High,Very High
148,College,Marketing,Female,Married,35,4,2,16,4.0,Noruega,No,Non-Travel,Sales,3,Sales Executive,10377,Yes,11,6,High,Medium,Very High,Medium
149,,Medical,Female,Married,36,2,4,10,0.0,Arkansas,No,,Sales,3,Sales Executive,7644,No,19,2,Low,Medium,Very High,High
150,Bachelor,Medical,Male,Single,40,2,7,21,1.0,Austria,No,,Research & Development,5,Research Director,19626,No,14,2,High,Medium,High,Low
151,College,Medical,Female,Married,37,0,0,15,5.0,Hungría,Yes,Travel_Rarely,Research & Development,2,Healthcare Representative,4777,No,15,2,Low,Low,Medium,Low
152,Master,Medical,Male,Married,53,1,1,21,3.0,Bélgica,No,Travel_Rarely,Research & Development,4,Research Director,17584,Yes,16,5,High,High,High,Very High
153,Bachelor,Life Sciences,Female,Single,45,0,0,8,8.0,Portugal,No,Travel_Rarely,Sales,2,Sales Executive,4850,No,15,3,Very High,High,High,High
154,College,Life Sciences,Female,Single,32,2,0,10,3.0,Rumania,No,Travel_Rarely,Research & Development,3,Research Director,11159,No,15,6,High,High,Very High,Very High
155,Bachelor,Life Sciences,Male,Married,38,1,2,19,7.0,Arizona,No,Travel_Frequently,Research & Development,2,Research Scientist,4735,No,15,4,Very High,High,Very High,Very High
156,College,Life Sciences,Female,Divorced,38,0,5,11,3.0,Dakota del Sur,No,Travel_Rarely,Sales,2,Sales Executive,6893,No,15,3,Medium,High,Low,Very High
157,,Technical Degree,Male,Single,19,0,0,1,1.0,Noruega,Yes,Travel_Rarely,Human Resources,1,Human Resources,2564,No,12,3,Low,Medium,Very High,High
158,Bachelor,Life Sciences,Male,Married,50,0,5,22,3.0,España,No,Travel_Rarely,Research & Development,4,Manufacturing Director,13973,Yes,18,2,Very High,High,High,Very High
159,Below College,Technical Degree,Female,Divorced,34,0,0,5,1.0,Luisiana,No,Non-Travel,Research & Development,1,Research Scientist,2029,No,20,2,Low,Medium,High,High
160,,Life Sciences,Male,Divorced,29,1,0,6,1.0,Portugal,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6623,Yes,11,2,High,High,Very High,Medium
161,Master,Marketing,Female,Married,31,5,6,13,1.0,Ohio,No,Travel_Rarely,Sales,2,Sales Executive,5468,No,14,3,Low,Medium,Very High,Low
162,College,Other,Female,Married,22,0,1,4,1.0,Arizona,No,Non-Travel,Research & Development,1,Research Scientist,2814,Yes,14,2,Medium,Medium,High,Medium
163,,Life Sciences,Male,Married,43,6,2,14,1.0,Dakota del Norte,No,Travel_Rarely,Research & Development,4,Research Director,17603,No,24,3,High,Medium,High,Low
164,Bachelor,Life Sciences,Male,Divorced,33,1,0,15,3.0,Florida,No,Travel_Frequently,Research & Development,2,Healthcare Representative,7725,No,23,2,High,High,Very High,High
165,,Medical,Male,Single,42,0,2,8,5.0,Noruega,No,Travel_Frequently,Research & Development,1,Research Scientist,2515,Yes,14,2,Medium,High,Very High,Very High
166,,Technical Degree,Female,Single,51,0,0,29,3.0,Maryland,No,Travel_Rarely,Research & Development,4,Manufacturing Director,13142,No,16,1,Very High,Medium,Medium,Medium
