,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
39,College,Life Sciences,Female,Married,32,3af96eef-4491-4798-8c24-73b884451a6f,16,0,1,6,2.0,Indiana,No,,Sales,1,Sales Representative,3931,No,11,5,High,High,Medium,Low
40,Bachelor,Medical,Male,Divorced,32,db489c6d-d032-4b88-ab2f-b13c8107cd83,14,1,0,10,0.0,Noruega,No,Travel_Rarely,Research & Development,2,Research Scientist,5470,No,13,4,Very High,High,Medium,High
41,Master,Marketing,Female,Married,34,81e0a187-69ee-4c7b-9207-73c3671e9e9f,20,0,2,6,9.0,Colorado,No,Non-Travel,Sales,2,Sales Executive,6538,No,15,3,High,High,High,Low
42,College,Other,Female,Divorced,24,8d76d821-82a8-4f82-8f2c-a446a23c147f,9,1,3,5,0.0,Delaware,No,Non-Travel,Research & Development,2,Manufacturing Director,4011,No,18,5,Low,Very High,High,
43,Master,Life Sciences,Male,Single,32,fe5999ea-c112-4550-bc82-ccbf36ef4d2a,3,0,0,1,1.0,Bélgica,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,1393,No,12,2,Very High,High,,Low
44,College,Life Sciences,Male,Divorced,38,2e5571b5-943c-4394-bbbf-f058488915c9,8,0,3,10,2.0,Vermont,No,Travel_Rarely,Research & Development,1,Research Scientist,4771,No,19,0,Medium,High,Very High,Very High
45,Bachelor,Other,Male,Married,30,a770a49c-f096-4917-af4e-64d05320e790,2,0,1,7,0.0,Portugal,No,Travel_Rarely,Research & Development,2,Manufacturing Director,9957,No,15,1,High,High,Low,High
46,Below College,Technical Degree,Male,Single,21,bc42aeb8-71d6-4c4f-be8c-7d56702215d7,1,1,0,3,1.0,Alaska,No,Travel_Rarely,Sales,1,Sales Representative,3447,No,11,2,High,High,High,High
47,Master,Life Sciences,Female,Married,39,b3a7933f-1e3d-47d9-bc9d-b08adfb94fdc,11,4,3,17,4.0,Portugal,No,Travel_Rarely,Sales,2,Sales Executive,5902,No,14,1,Very High,Medium,High,High
48,Bachelor,Medical,Female,Single,38,429d3ed0-8598-4e8d-860f-6a6c66889835,14,0,3,4,1.0,Kentucky,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2440,No,22,3,Very High,Medium,Medium,Medium
49,Bachelor,Life Sciences,Male,Divorced,51,61b03fe5-6a9b-451a-972e-536eb4e17bb2,0,0,1,33,1.0,Kansas,No,Travel_Rarely,Human Resources,4,Manager,14026,Yes,11,2,High,High,Medium,Medium
50,Bachelor,Marketing,Male,Married,35,1be87bcd-0dee-43a5-8912-6e8a08c311b5,22,5,7,12,0.0,Texas,No,Travel_Rarely,Sales,3,Sales Executive,8020,No,15,3,High,High,Medium,
51,Bachelor,Life Sciences,Male,Married,26,9b183307-b1c9-4678-847b-38b39f501d10,18,1,0,6,6.0,Illinois,Yes,Travel_Frequently,Research & Development,1,Research Scientist,2042,Yes,14,2,Low,High,Low,Medium
52,Bachelor,Other,Male,Married,37,7481dcbf-7a33-4296-b331-538be392ff73,19,2,6,10,1.0,Austria,No,Travel_Rarely,Research & Development,3,Manufacturing Director,9434,No,15,2,High,High,High,High
53,Bachelor,Other,Female,Divorced,53,acb2427a-5121-474e-bb20-66dc4fca83d6,22,1,2,26,4.0,Pensilvania,No,Travel_Rarely,Research & Development,5,Manager,19094,No,11,3,High,High,High,Very High
54,Doctor,Medical,Female,Single,36,304858fe-7de1-42d0-9a43-03fd871ea319,10,3,0,15,0.0,Suiza,No,Travel_Rarely,Research & Development,3,Manufacturing Director,8858,No,11,2,Very High,Medium,Very High,Medium
55,,Life Sciences,Male,Married,23,563ffe30-a6ae-4df5-85ab-ed645ae28b70,14,0,0,1,1.0,Dinamarca,No,Travel_Rarely,Research & Development,1,Research Scientist,1223,No,22,2,Very High,High,High,Very High
56,Bachelor,Life Sciences,Female,Married,36,fb7a4e01-489d-477e-af2c-dbb6cdb68907,4,0,4,10,9.0,Minnesota,No,Non-Travel,Research & Development,3,Research Director,11713,No,14,2,Low,Very High,Low,Low
57,Master,Marketing,Female,Married,27,a8606914-d64e-4af1-9f16-1b6245d6fdad,1,0,0,8,1.0,Suiza,No,Travel_Rarely,Sales,2,Sales Executive,6214,No,18,3,Medium,High,Medium,Low
58,Bachelor,Medical,Male,Married,55,ee323c6b-8dd1-4b0b-8dd8-94c854d8cc8f,11,0,0,34,8.0,Delaware,No,Travel_Rarely,Research & Development,5,Research Director,19038,No,12,2,High,Medium,Low,Medium
59,Doctor,Medical,Female,Married,37,99ea1440-a760-417f-8731-b6731f1fcde0,19,1,7,15,3.0,Nueva Jersey,No,Non-Travel,Research & Development,2,Research Scientist,4449,Yes,15,2,Medium,High,High,Low
60,Below College,Medical,Female,Married,31,dd010efe-53a5-42a2-85ca-246546a0d62d,2,0,1,7,8.0,Francia,No,Travel_Rarely,Research & Development,1,Research Scientist,3929,Yes,23,0,High,High,Very High,High
61,College,Other,Female,Divorced,25,1c6e492e-3b4f-4fb4-925a-1adfec6432ae,20,0,0,6,0.0,Austria,No,Travel_Rarely,Sales,2,Sales Executive,4907,Yes,22,3,Low,High,,Medium
62,College,Life Sciences,Male,Divorced,40,7f427f30-b8fe-4c05-8731-133edde88726,7,0,0,6,9.0,Austria,No,Non-Travel,Research & Development,1,Research Scientist,3544,No,16,0,High,High,,Medium
63,Bachelor,Medical,Female,Single,37,c40ba2f5-d0b1-4cb5-a589-337def97d122,1,0,1,8,4.0,Suiza,No,,Research & Development,1,Laboratory Technician,3629,No,18,6,Low,High,High,Low
64,Bachelor,Technical Degree,Male,Single,26,89709c63-7c8b-4746-aa28-e5096dddc9af,4,0,0,1,1.0,Reino Unido,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2340,Yes,18,3,High,Low,Very High,Medium
65,Bachelor,Marketing,Male,Single,41,f26c2640-99c1-4d9a-a350-5fe4b9b7039e,21,2,5,8,1.0,Dakota del Norte,Yes,Travel_Frequently,Sales,2,Sales Executive,9355,No,18,5,Low,High,Medium,High
66,Bachelor,Marketing,Female,Single,33,91c7c1c2-fc40-4536-91ef-3315c255375c,3,0,0,1,1.0,República Checa,Yes,Travel_Rarely,Sales,1,Sales Representative,2851,Yes,13,2,Very High,High,High,Medium
67,College,Medical,Male,Divorced,36,2059e3e7-ea1f-475e-a142-d257175e7587,3,0,2,13,2.0,República Checa,No,Travel_Rarely,Research & Development,2,Manufacturing Director,8847,Yes,11,2,Medium,Medium,Medium,High
68,Master,Technical Degree,Male,Married,42,13fe33a0-8a5e-45f8-8ad6-d31f2f4db599,3,2,0,10,3.0,Carolina del Norte,No,Non-Travel,Research & Development,1,Research Scientist,2936,No,22,1,High,High,High,Medium
69,Master,Medical,Female,Divorced,50,ef531819-3a77-4830-a318-66ff09bd1701,17,0,6,32,3.0,Polonia,No,Travel_Rarely,Sales,5,Manager,19517,No,11,3,Very High,High,Very High,High
70,Bachelor,Medical,Male,Married,33,9a11c196-5c92-4aa3-a330-2c1e9136eccb,19,2,6,15,0.0,Kansas,No,Travel_Rarely,Research & Development,1,Research Scientist,2781,No,13,5,Low,High,,Medium
71,Bachelor,Technical Degree,Male,Single,30,ff483057-9c4a-444d-9b74-13a5939118aa,11,0,0,3,9.0,Delaware,Yes,Travel_Frequently,Research & Development,1,Research Scientist,2285,Yes,23,4,High,High,Very High,High
72,Below College,Medical,Male,Married,39,c0085935-b954-40e3-bbb6-c26702faf054,1,2,8,21,1.0,Indiana,No,Travel_Rarely,Research & Development,4,Manager,17068,Yes,14,3,High,High,Low,Very High
73,,Technical Degree,Male,Divorced,33,7ff5033b-1527-49a7-8b3a-dad4dda6e88f,5,1,7,11,5.0,Suiza,No,,Research & Development,2,Research Scientist,3055,No,15,2,Very High,High,,Very High
74,Master,Medical,Male,Divorced,31,feb7e3e2-69ba-4371-8a96-1cc112552a72,3,2,2,9,9.0,Massachusetts,No,Travel_Frequently,Research & Development,3,Research Director,13675,No,12,3,Medium,High,High,Low
75,Master,Medical,Male,Divorced,40,9ffccec3-1fb0-464b-94a3-b3e6f6b32081,19,0,0,3,8.0,Maryland,No,Travel_Frequently,Research & Development,1,Research Scientist,3617,Yes,14,2,Very High,High,Medium,Very High
76,,Life Sciences,Female,Single,47,3e8507cc-f0b5-4e48-b26d-ed082a5b48a9,2,1,2,3,1.0,Arizona,No,,Sales,1,Sales Representative,3294,Yes,18,3,Very High,Medium,Very High,Low
77,Master,Medical,Male,Divorced,47,47285733-cb85-42ad-b8bb-c74c7740265e,8,1,5,20,1.0,Nebraska,No,Travel_Frequently,Research & Development,2,Manufacturing Director,5067,Yes,19,3,High,Very High,,High
78,Bachelor,Life Sciences,Male,Divorced,34,60b8be83-bb98-47f5-9b69-dd6ee19df834,23,0,4,15,1.0,Portugal,No,Non-Travel,Sales,2,Sales Executive,4001,Yes,14,3,Very High,High,High,High
79,Bachelor,Medical,Male,Single,45,99b93a8d-2341-4b12-bd6a-c1cf5cddc83b,5,0,2,9,5.0,Minnesota,No,Travel_Rarely,Research & Development,1,Research Scientist,3452,No,13,2,High,High,Very High,Medium
80,,Life Sciences,Male,Married,25,a02b422f-7adf-4fa5-a517-50051a90102f,7,0,0,6,2.0,Florida,No,Travel_Rarely,Sales,2,Sales Executive,6232,No,11,3,Low,Very High,High,Medium
81,,Life Sciences,Male,Divorced,31,8b41ee95-6dbe-4d5f-bed4-fb1bfad51e09,3,0,4,13,1.0,República Checa,No,Travel_Rarely,Research & Development,3,Manufacturing Director,10648,No,25,6,High,High,Medium,Very High
82,Bachelor,Technical Degree,Female,Married,40,a3ed2c90-3710-4cda-acdf-55f40b9f416e,7,9,2,10,1.0,Noruega,No,Travel_Frequently,Research & Development,2,Laboratory Technician,6323,No,11,2,Very High,High,High,Low
83,,Medical,Male,Divorced,41,8f74624b-7377-45d7-9512-8a5a314f29d5,12,0,5,21,2.0,Croacia,No,Travel_Frequently,Research & Development,5,Research Director,19419,No,17,2,Low,High,High,Medium
84,College,Medical,Female,Married,32,872f919a-a7ae-4039-9cd4-ad7ef06277f9,6,1,0,9,5.0,Grecia,No,Travel_Rarely,Research & Development,2,Research Scientist,5175,No,12,3,High,Very High,High,High
85,College,Life Sciences,Female,Single,28,c57c4488-5156-42f9-9ee1-86f9f7ddbc9d,18,0,0,5,1.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Research Scientist,3310,No,21,3,Very High,High,Very High,Very High
86,Bachelor,Life Sciences,Female,Single,27,d2a8ec57-f903-4183-9173-bcecb0148e92,5,0,0,7,1.0,Wyoming,No,Travel_Frequently,Sales,2,Sales Executive,9981,No,14,2,Very High,High,,Very High
87,Doctor,Marketing,Male,Divorced,33,d2691717-7228-415f-9217-1a110c924246,9,0,1,10,0.0,Alemania,No,Travel_Rarely,Sales,3,Sales Executive,8380,Yes,14,3,Very High,Very High,High,Very High
88,College,Medical,Male,Divorced,50,c6e99d3c-efbe-4bfd-8f1e-b5f21111714f,18,1,1,32,9.0,Montana,No,,Research & Development,4,Research Director,17399,No,22,1,Very High,High,Very High,High
89,College,Life Sciences,Female,Single,41,b21aab74-2cd8-492c-9cde-e31afefca8c1,18,0,5,8,8.0,Montana,Yes,Travel_Rarely,Sales,2,Sales Executive,5993,Yes,11,0,Medium,High,Very High,Low
90,Master,Life Sciences,Male,Single,36,cd9789ae-0bc6-4b52-8356-aa4ffcf3517b,11,0,3,10,7.0,Italia,Yes,Travel_Rarely,Sales,1,Sales Representative,3407,No,23,4,High,Medium,Low,Medium
91,,Life Sciences,Male,Divorced,46,74195551-a01f-470c-ba9d-95b68061de73,17,0,0,13,4.0,Noruega,No,Travel_Rarely,Sales,3,Sales Executive,10368,Yes,12,5,High,High,Very High,Medium
92,Master,Medical,Male,Married,57,472881c2-a88b-4560-95d1-73076ee2c1be,20,1,0,15,2.0,Georgia,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6755,No,11,2,Very High,High,High,High
93,Master,Other,Male,Single,44,92ba1da8-0502-4fa4-bf6c-633034f2ee7b,20,8,11,20,1.0,Misuri,No,Travel_Rarely,Research & Development,2,Research Scientist,4541,No,25,3,Very High,High,,Medium
94,College,Medical,Female,Divorced,53,70648f57-3474-45e1-983c-367f5b92b2e1,0,1,0,5,1.0,Washington,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4450,No,11,3,Very High,Very High,Low,High
95,Bachelor,Human Resources,Female,Single,54,52d8e137-2698-4127-bdf4-a0661ed4343d,5,1,2,23,2.0,Indiana,No,Non-Travel,Human Resources,4,Manager,17328,Yes,12,3,Very High,Very High,Very High,High
96,Below College,Life Sciences,Male,Married,28,882a10d4-89b3-4cf5-8a92-45204de8060e,22,0,2,6,0.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Research Scientist,3201,No,17,2,Low,Medium,Medium,Low
97,College,Life Sciences,Male,Single,35,ac05f229-c4e1-4698-b2b5-e3af908d0726,11,0,0,10,2.0,República Checa,No,Travel_Frequently,Research & Development,3,Manufacturing Director,9362,No,11,2,High,High,Very High,High
98,Bachelor,Life Sciences,Female,Divorced,33,a594495f-ba93-471c-ad33-3ed7effec9b0,6,0,2,7,1.0,Rumania,No,Non-Travel,Sales,2,Sales Executive,5368,Yes,25,2,High,High,Very High,High
99,Bachelor,Medical,Female,Married,44,d0820685-ee7d-45db-8be5-911b47c87a0d,4,0,4,10,1.0,Italia,Yes,Travel_Rarely,Research & Development,3,Healthcare Representative,7978,No,11,2,Low,High,Very High,Very High
100,Bachelor,Life Sciences,Female,Married,37,c9453c00-5b50-4ee0-ab45-641199f5cd49,19,6,5,16,1.0,Noruega,No,Travel_Rarely,Research & Development,3,Research Director,13744,Yes,25,2,High,Very High,Very High,Low
101,Bachelor,Human Resources,Female,Married,42,eab2b707-d550-4eda-9eab-43a0c6d29540,23,0,3,21,0.0,Tennessee,No,Travel_Rarely,Human Resources,4,Manager,16799,No,14,5,High,High,Low,High
102,Bachelor,Marketing,Female,Single,29,8b0aa197-323f-43cb-a12a-4c62afab1634,15,2,2,2,1.0,Portugal,Yes,Travel_Rarely,Sales,1,Sales Representative,2760,No,13,3,Medium,Low,Medium,High
103,,Life Sciences,Male,Divorced,37,08f79500-6979-4a35-ac0e-1ad870c5d952,23,0,7,7,1.0,Vermont,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5993,No,18,2,Low,Medium,,High
104,Master,Life Sciences,Male,Divorced,41,4b83dd7e-f2f1-41d7-8ccc-0945ced95bca,22,0,3,5,1.0,Francia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2289,No,20,2,High,High,Low,Medium
105,Bachelor,Technical Degree,Female,Divorced,46,3eb55ac2-6d4b-4ea3-a4fc-cd50e4ab2d19,21,1,1,25,2.0,Polonia,No,Travel_Rarely,Sales,4,Sales Executive,13225,No,12,5,Low,Very High,Low,Very High
106,Master,Medical,Male,Married,35,acc1b8ea-3c21-445c-af68-7eaa901b5c10,9,1,6,10,6.0,Finlandia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2258,No,12,2,Very High,Medium,,Medium
107,College,Human Resources,Male,Divorced,33,377e9835-ec3c-43ca-9b3b-a1668034d356,7,0,3,7,3.0,Arizona,No,Travel_Rarely,Human Resources,1,Human Resources,2277,Yes,11,4,Very High,High,Medium,High
108,Master,Technical Degree,Female,Single,34,46b8e931-4fdd-436c-8567-58242f2e0849,19,2,1,14,1.0,Suiza,No,,Research & Development,2,Healthcare Representative,6687,No,11,2,High,High,Very High,Very High
109,Bachelor,Medical,Male,Divorced,45,16858e23-83af-449c-b092-901c4adade4d,20,0,0,24,2.0,Oklahoma,No,Travel_Rarely,Research & Development,3,Healthcare Representative,10851,Yes,18,2,Medium,Low,,Medium
110,,Life Sciences,Male,Divorced,41,71555380-b0d1-4489-ab3c-258e990d330b,15,0,3,14,2.0,Wyoming,No,,Sales,2,Sales Executive,8938,No,11,5,High,Medium,Medium,High
111,,Life Sciences,Male,Married,42,8eb9f7c6-a2e4-4a97-93d7-b44cb8b540ba,0,6,0,20,1.0,Iowa,No,Travel_Rarely,Sales,2,Sales Executive,4907,No,25,3,Medium,High,High,High
112,Master,Life Sciences,Male,Married,51,f02d5534-b05b-4d6a-915b-afca57363217,8,1,1,16,5.0,Carolina del Norte,No,,Research & Development,3,Research Director,12490,No,16,5,Medium,Medium,,Very High
113,College,Life Sciences,Male,Married,45,b7cff693-2952-4f69-a0e7-3ab7eee5a234,21,0,2,9,1.0,Indiana,No,Non-Travel,Research & Development,2,Laboratory Technician,4447,No,12,5,High,High,,Medium
114,Bachelor,Marketing,Male,Married,51,f4a60a07-a94e-40ca-958e-01ad492820a3,20,0,1,14,2.0,Rumania,No,Travel_Frequently,Sales,3,Sales Executive,10596,No,11,5,Medium,High,Medium,Medium
115,Bachelor,Life Sciences,Male,Single,48,dafe4e8e-59b1-4c48-8955-599e6ac3765c,15,0,8,11,1.0,Illinois,No,Travel_Rarely,Research & Development,3,Manufacturing Director,7898,No,11,2,Very High,High,Very High,High
116,College,Marketing,Female,Married,46,6ed716ca-2210-4061-a316-c81118845757,16,0,3,26,2.0,Georgia,No,Travel_Rarely,Sales,5,Manager,18789,No,14,2,Very High,Medium,Medium,High
117,Master,Life Sciences,Female,Married,40,f1a3fc4e-18cb-4670-80ad-e3ae13de8ed7,20,0,1,21,0.0,Noruega,No,Travel_Rarely,Sales,5,Manager,18041,No,14,2,High,High,High,Very High
118,,Other,Female,Married,47,d3243c39-a73c-4a6f-b32c-e3756f2baf1c,12,1,0,26,1.0,Rumania,No,Travel_Rarely,Research & Development,4,Manager,16752,Yes,11,3,High,High,Very High,High
119,College,Life Sciences,Female,Married,42,d57c96b7-7ccc-49ac-80e2-e21365c74598,17,0,0,8,9.0,Dinamarca,No,Travel_Rarely,Research & Development,2,Manufacturing Director,6062,Yes,13,4,Very High,Medium,Very High,Very High
120,Master,Medical,Female,Married,42,3dc3cb37-eaa2-4716-aa57-6d0803c0b323,11,0,0,18,6.0,Maryland,No,Travel_Rarely,Research & Development,2,Research Scientist,2372,Yes,16,2,Medium,Very High,Medium,Very High
121,Bachelor,Marketing,Female,Married,49,c664cad9-a7e9-48e3-931e-90be90e22fae,3,2,1,9,1.0,Nevada,Yes,Travel_Rarely,Sales,3,Sales Executive,7654,No,18,3,High,High,Very High,Low
122,Master,Technical Degree,Male,Married,27,1859bc49-63a0-4b3b-af1c-50c683196db6,4,1,0,6,1.0,Dinamarca,No,,Research & Development,1,Research Scientist,2226,No,11,3,Medium,High,Medium,High
